archetype,activity,product,product type,price,link,img link
innovator,Dawn Lightning Session,Teenage Engineering TP7 Field Recorder,recorder,1499,https://amzn.to/4nPXlbc,https://m.media-amazon.com/images/I/71wWHYYD4SL._AC_SX679_.jpg
innovator,Dawn Lightning Session,The Innovator's Dilemma by Clayton Christensen,book,37.05,https://amzn.to/4lCnLfa,https://m.media-amazon.com/images/I/618BdBwK5ML._SY522_.jpg
innovator,Reverse Archaeology,Rhodia Webnotebook A5 - French-made dot grid notebook,notebook,24.4,https://amzn.to/3UfJ8H3,https://m.media-amazon.com/images/I/71NJrY7ob4L._SY522_.jpg
innovator,Reverse Archaeology,Leuchtturm1917 Bauhaus Edition Notebook,notebook,25.46,https://amzn.to/3Iv4vS9,https://m.media-amazon.com/images/I/51kk3zFKSQL._AC_SX679_.jpg
innovator,Micro-Disruption Lab,Sugru Moldable Glue 8-pack,adhesive,26.35,https://amzn.to/4kGQQog,https://m.media-amazon.com/images/I/71Vwdmn+OyL._SX522_.jpg
innovator,Innovation Constellation,Celestron SkyMaster 15x70 Binoculars,binoculars,89,https://amzn.to/44PXz9P,https://m.media-amazon.com/images/I/51OwHKeZOEL._AC_SX679_.jpg
innovator,Solar Prototype Racing,Instax Mini Link 2 Instant Printer,printer,149.95,https://amzn.to/3GMaIsr,https://m.media-amazon.com/images/I/717HaP3bttL._AC_SX679_.jpg
innovator,Reality Distortion Field,,,,,
innovator,Prometheus Protocol,Make: Electronics,book,19.29,https://amzn.to/4m2qoqz,https://m.media-amazon.com/images/I/71v+rxNWFEL._SY522_.jpg
innovator,Prometheus Protocol,Vilros Raspberry Pi 4 Complete Starter Kit,electronics,117.99,https://amzn.to/453vMUx,https://m.media-amazon.com/images/I/91BoSluMdjL._AC_SX679_.jpg
innovator,Prometheus Protocol,FLASHFORGE Adventurer 5M 3D Printer,3d printer,259,https://amzn.to/4lARt4h,https://m.media-amazon.com/images/I/71lL+5cwJLL._AC_SX679_.jpg
innovator,Prometheus Protocol,Futuria: Art of the Sci-Fi Age,book,34.78,https://amzn.to/4kJt9fg,https://m.media-amazon.com/images/I/71+Rulg5SLL._SY522_.jpg
